Date,Open,High,Low,Close,Adj Close,Volume
2009-05-21,81.180000,81.419998,79.809998,80.330002,80.330002,0
2009-05-28,80.750000,81.129997,78.330002,79.500000,79.500000,0
2009-06-04,79.489998,81.470001,79.019997,80.330002,80.330002,0
2009-06-11,80.269997,81.370003,79.190002,80.169998,80.169998,0
2009-06-18,80.269997,80.940002,79.559998,80.559998,80.559998,0
2009-06-25,80.540001,80.910004,79.349998,79.629997,79.629997,0
2009-07-02,79.660004,80.889999,79.599998,80.769997,80.769997,0
2009-07-09,80.650002,80.720001,79.290001,79.320000,79.320000,0
2009-07-16,79.440002,79.660004,78.559998,78.709999,78.709999,0
2009-07-23,78.790001,79.660004,78.320000,79.629997,79.629997,0
2009-07-30,79.529999,79.639999,77.430000,77.519997,77.519997,0
2009-08-06,77.559998,79.389999,77.510002,78.790001,78.790001,0
2009-08-13,78.800003,79.510002,78.230003,78.470001,78.470001,0
2009-08-20,78.449997,78.830002,77.750000,78.660004,78.660004,0
2009-08-27,78.669998,78.940002,77.849998,78.379997,78.379997,0
2009-09-03,78.370003,78.699997,76.800003,77.089996,77.089996,0
2009-09-10,77.040001,77.239998,76.150002,76.239998,76.239998,0
2009-09-17,76.260002,77.110001,75.830002,76.050003,76.050003,0
2009-09-24,76.400002,77.330002,76.089996,76.650002,76.650002,0
2009-10-01,76.650002,77.470001,76.099998,76.489998,76.489998,0
2009-10-08,76.300003,76.669998,75.339996,75.550003,75.550003,0
2009-10-15,75.400002,75.910004,74.940002,74.970001,74.970001,0
2009-10-22,75.080002,76.559998,74.949997,76.430000,76.430000,0
2009-10-29,76.430000,76.820000,75.599998,75.639999,75.639999,0
2009-11-05,75.879997,75.980003,74.769997,75.160004,75.160004,0
2009-11-12,75.059998,75.769997,74.680000,75.180000,75.180000,0
2009-11-19,75.110001,75.879997,74.230003,74.269997,74.269997,0
2009-11-26,74.320000,75.570000,74.169998,74.669998,74.669998,0
2009-12-03,74.529999,76.330002,74.330002,76.040001,76.040001,0
2009-12-10,75.980003,77.089996,75.860001,77.000000,77.000000,0
2009-12-17,76.949997,78.449997,76.910004,77.900002,77.900002,0
2009-12-24,77.889999,78.220001,77.330002,77.910004,77.910004,0
2009-12-31,77.889999,78.190002,77.089996,77.489998,77.489998,0
2010-01-07,77.370003,78.190002,76.599998,76.849998,76.849998,0
2010-01-14,76.790001,78.449997,76.669998,78.339996,78.339996,0
2010-01-21,78.269997,78.849998,78.029999,78.680000,78.680000,0
2010-01-28,78.660004,79.529999,78.540001,79.370003,79.370003,0
2010-02-04,79.349998,80.680000,79.349998,80.029999,80.029999,0
2010-02-11,79.940002,80.750000,79.559998,80.379997,80.379997,0
2010-02-18,80.449997,81.339996,80.089996,80.849998,80.849998,0
2010-02-25,80.779999,81.290001,79.820000,79.980003,79.980003,0
2010-03-04,80.050003,80.889999,79.940002,80.449997,80.449997,0
2010-03-11,80.459999,80.570000,79.510002,79.639999,79.639999,0
